source_url,top_queries,clicks,impressions,current_target,recommendation_type,recommended_target_or_slug,rationale
https://khangvuongbooking.com/tag/dai-ly-cebu-pacific/,dai ly cebu pacific | site:khangvuongbooking.com | đại lý cebu pacific | phong ve cebu pacific | cecbu,2,1586,/cam-nang-bay,create_specific_landing,/hang-bay/dai-ly-cebu-pacific,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (dai ly cebu pacific; site:khangvuongbooking.com; đại lý cebu pacific; phong ve cebu pacific; cecbu); ưu tiên landing riêng thay vì đích tổng quát, (2 click, 1586 impression)."
https://khangvuongbooking.com/ve-may-bay-di-nga-moscow/,vé máy bay đi moscow | ve may bay di nga | khoảng cách từ hà nội đến moscow | vé máy bay đi nga | vé máy bay hà nội đi nga,0,3707,/ve-may-bay,create_specific_landing,/ve-may-bay-di-nga-moscow,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi moscow; ve may bay di nga; khoảng cách từ hà nội đến moscow; vé máy bay đi nga; vé máy bay hà nội đi nga); ưu tiên landing riêng thay vì đích tổng quát, (0 click, 3707 impression)."
https://khangvuongbooking.com/nhung-dieu-ban-chua-biet-ve-thanh-pho-los-angeles/,los angeles | thành phố los angeles | la | los angeles ở bang nào | los angeles ở nước nào,3,615,/cam-nang-bay,keep_existing,/cam-nang-bay,"Intent phù hợp với đích hiện tại /cam-nang-bay; giữ nguyên để bảo toàn chủ đề truy vấn (los angeles; thành phố los angeles; la; los angeles ở bang nào; los angeles ở nước nào), (3 click, 615 impression)."
https://khangvuongbooking.com/ve-may-bay-ha-noi-di-vancouver-canada/,khách sạn giá rẻ tại vancouver | vé máy bay từ hà nội đi vancouver | vé máy bay đi vancouver | vé máy bay hà nội canada | vé máy bay hà nội vancouver,2,1689,,create_specific_landing,/ve-may-bay-ha-noi-di-vancouver-canada,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (khách sạn giá rẻ tại vancouver; vé máy bay từ hà nội đi vancouver; vé máy bay đi vancouver; vé máy bay hà nội canada; vé máy bay hà nội vancouver); ưu tiên landing riêng thay vì đích tổng quát, (2 click, 1689 impression)."
https://khangvuongbooking.com/gia-ve-may-bay-sai-gon-tp-hcm-di-houston-iah-my-thang-11-12/,vé máy bay từ houston đi tp. hồ chí minh | vé máy bay đi houston | vé máy bay từ tphcm đi houston | vé máy bay từ tp. hồ chí minh đi houston | vé máy bay từ tp hồ chí minh đi houston,3,602,,create_specific_landing,/gia-ve-may-bay-sai-gon-tp-hcm-di-houston-iah-my-thang-11-12,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay từ houston đi tp. hồ chí minh; vé máy bay đi houston; vé máy bay từ tphcm đi houston; vé máy bay từ tp. hồ chí minh đi houston; vé máy bay từ tp hồ chí minh đi houston); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 602 impression)."
https://khangvuongbooking.com/dat-ve-may-bay-sai-gon-tp-hcm-di-dallas-texas-my-thang-7/,vé máy bay đi dallas | vé máy bay đi texas | vé máy bay đi dallas-fort worth | ho chi minh city dallas | vé máy bay đi texas mỹ,3,557,,create_specific_landing,/dat-ve-may-bay-sai-gon-tp-hcm-di-dallas-texas-my-thang-7,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi dallas; vé máy bay đi texas; vé máy bay đi dallas-fort worth; ho chi minh city dallas; vé máy bay đi texas mỹ); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 557 impression)."
https://khangvuongbooking.com/ban-ve-sai-gon-tp-hcm-di-honolulu-my-thang-10/,vé máy bay đi honolulu | khách sạn giá rẻ tại honolulu | vé máy bay từ tp. hồ chí minh đi honolulu | vé máy bay đi hawaii | honolulu,3,486,/hang-bay,create_specific_landing,/ban-ve-sai-gon-tp-hcm-di-honolulu-my-thang-10,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi honolulu; khách sạn giá rẻ tại honolulu; vé máy bay từ tp. hồ chí minh đi honolulu; vé máy bay đi hawaii; honolulu); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 486 impression)."
https://khangvuongbooking.com/ban-ve-sai-gon-tp-hcm-di-miami-florida-my-thang-10/,vé máy bay đi miami | vé máy bay từ tp. hồ chí minh đi miami | tp miami | du lịch bờ tây nước mỹ | miami tp,3,423,/hang-bay,create_specific_landing,/ban-ve-sai-gon-tp-hcm-di-miami-florida-my-thang-10,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi miami; vé máy bay từ tp. hồ chí minh đi miami; tp miami; du lịch bờ tây nước mỹ; miami tp); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 423 impression)."
https://khangvuongbooking.com/dat-ve-may-bay-sai-gon-tp-hcm-di-houston-my-thang-7/,vé máy bay đi houston | vé máy bay từ tphcm đi houston | vé máy bay từ houston về sài gòn | vé máy bay đi texas | vé máy bay houston sài gòn,3,464,/ve-may-bay,create_specific_landing,/dat-ve-may-bay-sai-gon-tp-hcm-di-houston-my-thang-7,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi houston; vé máy bay từ tphcm đi houston; vé máy bay từ houston về sài gòn; vé máy bay đi texas; vé máy bay houston sài gòn); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 464 impression)."
https://khangvuongbooking.com/chuyen-bay-ha-noi-di-chicago-my-thang-9/,vé máy bay từ hà nội đi chicago | vé máy bay đi chicago | vé máy bay từ chicago về việt nam | ve may bay di chicago | site:khangvuongbooking.com,3,459,/hang-bay,create_specific_landing,/chuyen-bay-ha-noi-di-chicago-my-thang-9,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay từ hà nội đi chicago; vé máy bay đi chicago; vé máy bay từ chicago về việt nam; ve may bay di chicago; site:khangvuongbooking.com); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 459 impression)."
https://khangvuongbooking.com/dat-ve-may-bay-ha-noi-di-seattle-my-thang-7/,ve may bay di seattle my | vé máy bay đi seattle | ve may bay di seattle | vé máy bay seattle sài gòn | ve di my thang 7,3,568,,create_specific_landing,/dat-ve-may-bay-ha-noi-di-seattle-my-thang-7,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (ve may bay di seattle my; vé máy bay đi seattle; ve may bay di seattle; vé máy bay seattle sài gòn; ve di my thang 7); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 568 impression)."
https://khangvuongbooking.com/dat-mua-ve-may-bay-sai-gon-tp-hcm-di-orlando-florida-my/,vé máy bay đi orlando | vé máy bay đi florida mỹ | giá vé máy bay đi mỹ khứ hồi 2019 orlando | thuê xe tự lái incheon | vé máy bay từ tp. hồ chí minh đi orlando,3,403,/ve-may-bay,create_specific_landing,/dat-mua-ve-may-bay-sai-gon-tp-hcm-di-orlando-florida-my,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi orlando; vé máy bay đi florida mỹ; giá vé máy bay đi mỹ khứ hồi 2019 orlando; thuê xe tự lái incheon; vé máy bay từ tp. hồ chí minh đi orlando); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 403 impression)."
https://khangvuongbooking.com/ban-ve-sai-gon-tp-hcm-di-denver-my-thang-10/,vé máy bay đi denver,3,341,,create_specific_landing,/ban-ve-sai-gon-tp-hcm-di-denver-my-thang-10,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi denver); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 341 impression)."
https://khangvuongbooking.com/ve-may-bay-ha-noi-di-ha-mon/,vé máy bay hà nội hạ môn | vé tàu hà nội đi hạ môn | chuyến bay từ hà nội tới hạ môn | từ hà nội đến hạ môn | hà nội đến hạ môn,1,2307,,create_specific_landing,/ve-may-bay-ha-noi-di-ha-mon,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay hà nội hạ môn; vé tàu hà nội đi hạ môn; chuyến bay từ hà nội tới hạ môn; từ hà nội đến hạ môn; hà nội đến hạ môn); ưu tiên landing riêng thay vì đích tổng quát, (1 click, 2307 impression)."
https://khangvuongbooking.com/dat-ve-may-bay-sai-gon-tp-hcm-di-honolulu-my-thang-7/,vé máy bay đi honolulu | khách sạn giá rẻ tại honolulu | vé máy bay từ hà nội đi honolulu | vé máy bay từ tp. hồ chí minh đi honolulu | vé máy bay đi hawaii,3,270,,create_specific_landing,/dat-ve-may-bay-sai-gon-tp-hcm-di-honolulu-my-thang-7,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi honolulu; khách sạn giá rẻ tại honolulu; vé máy bay từ hà nội đi honolulu; vé máy bay từ tp. hồ chí minh đi honolulu; vé máy bay đi hawaii); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 270 impression)."
https://khangvuongbooking.com/ve-may-bay-tu-ho-chi-minh-di-tay-an/,vé máy bay đi tây an | chuyến bay từ hà nội đến tây an | chuyến bay tới tây an | sân bay tây an,3,270,,remap_existing,/cam-nang-bay,"Đích hiện tại chưa phản ánh đầy đủ intent; remap về nhóm liên quan /cam-nang-bay, dựa trên URL và truy vấn (vé máy bay đi tây an; chuyến bay từ hà nội đến tây an; chuyến bay tới tây an; sân bay tây an), (3 click, 270 impression)."
https://khangvuongbooking.com/lay-dau-van-tay-du-khach-khi-xuat-nhap-canh-singapore/,,3,131,/cam-nang-bay,keep_existing,/cam-nang-bay,"Intent phù hợp với đích hiện tại /cam-nang-bay; giữ nguyên để bảo toàn chủ đề truy vấn (), (3 click, 131 impression)."
https://khangvuongbooking.com/ban-ve-sai-gon-tp-hcm-di-washington-my-thang-10/,ve di my thang 10 | vé máy bay đi washington | khang vuong | ve may bay di my thang 10,3,274,/hang-bay,create_specific_landing,/ban-ve-sai-gon-tp-hcm-di-washington-my-thang-10,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (ve di my thang 10; vé máy bay đi washington; khang vuong; ve may bay di my thang 10); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 274 impression)."
https://khangvuongbooking.com/dat-mua-ve-may-bay-ha-noi-di-seattle-my/,vé máy bay đi seattle | vé máy bay đi mỹ | ve may bay di my | ga chống thấm | khách sạn tại seattle,2,1360,/ve-may-bay,create_specific_landing,/dat-mua-ve-may-bay-ha-noi-di-seattle-my,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay đi seattle; vé máy bay đi mỹ; ve may bay di my; ga chống thấm; khách sạn tại seattle); ưu tiên landing riêng thay vì đích tổng quát, (2 click, 1360 impression)."
https://khangvuongbooking.com/dat-mua-ve-boston-my-ve-ho-chi-minh-ha-noi-gia-re/,vé máy bay từ boston về việt nam | vé máy bay đi boston | boston cách việt nam bao nhiêu tiếng | vé máy bay từ hà nội đi boston,3,177,/cam-nang-bay,create_specific_landing,/dat-mua-ve-boston-my-ve-ho-chi-minh-ha-noi-gia-re,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (vé máy bay từ boston về việt nam; vé máy bay đi boston; boston cách việt nam bao nhiêu tiếng; vé máy bay từ hà nội đi boston); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 177 impression)."
https://khangvuongbooking.com/dat-mua-ve-may-bay-starlux-airlines-di-dallas-texas/,đặt vé máy bay starlux | vé máy bay đi dallas,3,100,/ve-may-bay,create_specific_landing,/dat-mua-ve-may-bay-starlux-airlines-di-dallas-texas,"Truy vấn và URL thể hiện intent cụ thể về hãng/dịch vụ/điểm đến (đặt vé máy bay starlux; vé máy bay đi dallas); ưu tiên landing riêng thay vì đích tổng quát, (3 click, 100 impression)."
https://khangvuongbooking.com/thien-nhien-nuoc-my-5-dia-diem-ngam-canh-dep/,cảnh đẹp nước mỹ | cảnh đẹp ở mỹ | cảnh đẹp mỹ | những cảnh đẹp ở mỹ | phong cảnh nước mỹ,3,303,/cam-nang-bay,keep_existing,/cam-nang-bay,"Intent phù hợp với đích hiện tại /cam-nang-bay; giữ nguyên để bảo toàn chủ đề truy vấn (cảnh đẹp nước mỹ; cảnh đẹp ở mỹ; cảnh đẹp mỹ; những cảnh đẹp ở mỹ; phong cảnh nước mỹ), (3 click, 303 impression)."
