source_path,recommendation_type,recommended_target_or_slug,rationale
/chi-tu-31-usd-tung-bung-du-lich-chau-a-sieu-tiet-kiem-ve-air-asia,create_specific_landing,/chi-tu-31-usd-tung-bung-du-lich-chau-a-sieu-tiet-kiem-ve-air-asia,"Bài viết có chủ đề/hãng/tuyến cụ thể; 0 click và 1 impression, không redirect về hub chung."
/chung-ket-aff-cup-cac-hang-hang-khong-tang-cuong-chuyen-bay-den-malaysia,create_specific_landing,/chung-ket-aff-cup-cac-hang-hang-khong-tang-cuong-chuyen-bay-den-malaysia,"Bài viết có chủ đề/hãng/tuyến cụ thể; 0 click và 1 impression, không redirect về hub chung."
/combo-khuyen-mai-4-ve-may-bay-chi-tu-800-000-vnd-tu-bamboo-airways,create_specific_landing,/combo-khuyen-mai-4-ve-may-bay-chi-tu-800-000-vnd-tu-bamboo-airways,"Intent khuyến mãi cụ thể; 0 click và 1 impression, chưa có landing tương đương nên giữ URL."
/dat-mua-ve-may-bay-china-eastern-airlines-di-los-angeles,create_specific_landing,/dat-mua-ve-may-bay-china-eastern-airlines-di-los-angeles,"Intent đặt vé theo hãng/tuyến; 0 click và 1 impression, chưa có route tương đương nên giữ URL."
/dich-vu-hang-khong,remap_existing,/hang-bay,Intent dịch vụ hàng không gần nhất với hub hãng bay hiện có.
/du-hi-a-uc-cung-malaysia-airlines-ve-hap-dan-chi-tu-42-usd,create_specific_landing,/du-hi-a-uc-cung-malaysia-airlines-ve-hap-dan-chi-tu-42-usd,"Bài viết có chủ đề/hãng/tuyến cụ thể; 0 click và 1 impression, không redirect về hub chung."
/du-lich-han-quoc-mua-hoa-anh-dao-chi-tu-489-usd-khu-hoi,create_specific_landing,/du-lich-han-quoc-mua-hoa-anh-dao-chi-tu-489-usd-khu-hoi,"Bài viết có chủ đề/hãng/tuyến cụ thể; 0 click và 1 impression, không redirect về hub chung."
/hang-trieu-ve-0-dong-vietjet-khuyen-mai-khung-thang-9,create_specific_landing,/hang-trieu-ve-0-dong-vietjet-khuyen-mai-khung-thang-9,"Intent khuyến mãi cụ thể; 0 click và 1 impression, chưa có landing tương đương nên giữ URL."
/jetstar-pacific-sieu-giam-gia-ve-may-bay-chi-con-90-000-vnd,create_specific_landing,/jetstar-pacific-sieu-giam-gia-ve-may-bay-chi-con-90-000-vnd,"Intent khuyến mãi cụ thể; 0 click và 1 impression, chưa có landing tương đương nên giữ URL."
/jetstar-uu-dai-bay-ngay-thang-9-ve-chi-tu-11-000d,create_specific_landing,/jetstar-uu-dai-bay-ngay-thang-9-ve-chi-tu-11-000d,"Intent khuyến mãi cụ thể; 0 click và 1 impression, chưa có landing tương đương nên giữ URL."
/malaysia-airlines-uu-dai-dac-biet-ve-mot-chieu-sieu-re-chi-tu-938-000d,create_specific_landing,/malaysia-airlines-uu-dai-dac-biet-ve-mot-chieu-sieu-re-chi-tu-938-000d,"Intent khuyến mãi cụ thể; 0 click và 1 impression, chưa có landing tương đương nên giữ URL."
/mua-som-gia-tot-ve-di-my-chi-tu-795-usd-khu-hoi-cua-korean-air,create_specific_landing,/mua-som-gia-tot-ve-di-my-chi-tu-795-usd-khu-hoi-cua-korean-air,"Bài viết có chủ đề/hãng/tuyến cụ thể; 0 click và 1 impression, không redirect về hub chung."
