source_url,top_queries,clicks,impressions,current_target,recommendation_type,recommended_target_or_slug,rationale
https://khangvuongbooking.com/kinh-hai-chuyen-ma-am-o-khach-san-grand-hyatt-dai-bac/,grand hyatt đài loan | grandhyatt taipei | khách sạn bên đường tại đài bắc | khách sạn đài bắc | grand hyatt taipei,530,4167,/cam-nang-bay,create_specific_landing,/kinh-hai-chuyen-ma-am-o-khach-san-grand-hyatt-dai-bac/,Tín hiệu GSC đủ lớn để tạo landing theo đúng chủ đề URL.
https://khangvuongbooking.com/,khang vuong booking | vé máy bay mai trí vương | khang vuong | đặt vé máy bay giá rẻ | ve may bay,154,27263,/,keep_existing,/,Intent thương hiệu và tìm dịch vụ đặt vé tổng quát phù hợp với trang chủ.
https://khangvuongbooking.com/huong-dan-doi-ngay-bay-cac-hang-hang-khong/,vé máy bay có đổi ngày được không | vé máy bay có thể đổi ngày được không | mua vé máy bay có đổi ngày được không | vé máy bay có đổi được ngày không | có đổi được vé máy bay không,126,27871,/hang-bay,create_specific_landing,/huong-dan-doi-ngay-bay-cac-hang-hang-khong/,"Intent dịch vụ/hướng dẫn cụ thể; không phù hợp với landing tổng quát hiện tại, nên có slug chuyên biệt."
https://khangvuongbooking.com/gioi-thieu-khang-vuong-booking/,khang vuong | khang vuong booking | gửi hàng đi malaysia giá rẻ uy tín | mua hanh ly eva air | đại lý flyscoot,99,2277,/hang-bay,create_specific_landing,/gioi-thieu-khang-vuong-booking/,"Intent thương hiệu/giới thiệu doanh nghiệp; giữ hoặc tạo landing giới thiệu riêng, không gom vào trang hãng bay."
https://khangvuongbooking.com/ve-may-bay-ha-noi-di-thanh-dao-son-dong/,vé máy bay hà nội thanh đảo | vé máy bay đi sơn đông trung quốc | vé máy bay đi thanh đảo | vé máy bay đi thanh đảo trung quốc | hà nội thanh đảo,84,9495,,create_specific_landing,/ve-may-bay-ha-noi-di-thanh-dao-son-dong/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/ve-may-bay-ha-noi-di-hang-chau/,bay từ hà nội đến hàng châu mất bao lâu | bay thẳng hà nội hàng châu | vé máy bay đi hàng châu | vé máy bay hà nội hàng châu | giá vé máy bay hà nội hàng châu,81,10254,/ve-may-bay,create_specific_landing,/ve-may-bay-ha-noi-di-hang-chau/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/ve-may-bay-ho-chi-minh-di-thanh-dao-son-dong/,vé máy bay đi thanh đảo | vé máy bay đi thanh đảo trung quốc | vé máy bay đi sơn đông trung quốc | sơn đông trung quốc cách việt nam bao nhiêu km | chuyến bay tới thanh đảo,78,6689,,create_specific_landing,/ve-may-bay-ho-chi-minh-di-thanh-dao-son-dong/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/ve-may-bay-ho-chi-minh-di-cap-nhi-tan/,chuyến bay tới cáp nhĩ tân | vé máy bay đi cáp nhĩ tân | hành lý 23kg đi cáp nhĩ tân có thể mang gì | vé máy bay cáp nhĩ tân | chuyến bay từ tp. hồ chí minh đến cáp nhĩ tân,67,5255,/ve-may-bay,create_specific_landing,/ve-may-bay-ho-chi-minh-di-cap-nhi-tan/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/ve-may-bay-ha-noi-di-urumqi-tan-cuong/,bay hà nội tân cương mất bao lâu | vé máy bay đi urumqi | thời tiết urumqi | chuyến bay tới ürümqi | vé máy bay hà nội thiên tân,45,4277,/ve-may-bay,create_specific_landing,/ve-may-bay-ha-noi-di-urumqi-tan-cuong/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/so-dien-thoai-tong-dai-china-eastern-airlines/,hotline china eastern airlines | tổng đài china eastern airlines | china eastern airlines hotline | văn phòng đại diện china eastern airlines tại hà nội | dai ly china eastern airlines,42,3653,/hang-bay,create_specific_landing,/so-dien-thoai-tong-dai-china-eastern-airlines/,Intent hãng bay và liên hệ/đại lý rất cụ thể; ưu tiên landing riêng theo đúng tên hãng.
https://khangvuongbooking.com/ve-may-bay-ho-chi-minh-di-urumqi-tan-cuong/,vé máy bay đi tân cương | vé máy bay tân cương | vé máy bay đi urumqi | chuyến bay tới ürümqi | thời tiết urumqi,40,3072,/ve-may-bay,create_specific_landing,/ve-may-bay-ho-chi-minh-di-urumqi-tan-cuong/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/dai-ly-phong-ve-starlux-airlines/,văn phòng đại diện starlux airlines tại tphcm | hãng bay starlux của nước nào | văn phòng starlux airlines | starlux airlines là hãng nào | starlux airlines của nước nào,38,2659,/hang-bay,create_specific_landing,/dai-ly-phong-ve-starlux-airlines/,Intent hãng bay và liên hệ/đại lý rất cụ thể; ưu tiên landing riêng theo đúng tên hãng.
https://khangvuongbooking.com/booking/,95h lý nam đế | khang vuong booking | site:khangvuongbooking.com | 95 lý nam đế | 95 lý nam đế hoàn kiếm hà nội,33,7596,/cam-nang-bay,create_specific_landing,/booking/,Tín hiệu GSC đủ lớn để tạo landing theo đúng chủ đề URL.
https://khangvuongbooking.com/so-dien-thoai-tong-dai-starlux-airlines/,starlux airlines vietnam số điện thoại | starlux airlines hotline | văn phòng starlux airlines | starlux airlines vietnam sổ điện thoại | văn phòng đại diện starlux airlines tại tphcm,37,2959,/hang-bay,create_specific_landing,/so-dien-thoai-tong-dai-starlux-airlines/,Intent hãng bay và liên hệ/đại lý rất cụ thể; ưu tiên landing riêng theo đúng tên hãng.
https://khangvuongbooking.com/dich-vu-checkin-chon-cho-ngoi-hang-eva-air/,eva air check in online trước báo lâu | chọn chỗ ngồi eva air | daoi ve eva air | eva check in | eva booking,37,2844,,create_specific_landing,/dich-vu-checkin-chon-cho-ngoi-hang-eva-air/,"Intent dịch vụ/hướng dẫn cụ thể; không phù hợp với landing tổng quát hiện tại, nên có slug chuyên biệt."
https://khangvuongbooking.com/sanh-thuc-chau-va-chau-au-qua-nhung-chiec-banh/,bánh âu là gì | các loại bánh âu | bánh âu | site:khangvuongbooking.com | bánh á,39,705,/cam-nang-bay,create_specific_landing,/sanh-thuc-chau-va-chau-au-qua-nhung-chiec-banh/,Tín hiệu GSC đủ lớn để tạo landing theo đúng chủ đề URL.
https://khangvuongbooking.com/so-dien-thoai-tong-dai-china-airlines/,tổng đài china airlines | số điện thoại china airlines | văn phòng china airlines tại tphcm | so dien thoai china airlines | số điện thoại địa chỉ hãng china airlines,30,5052,/hang-bay,create_specific_landing,/so-dien-thoai-tong-dai-china-airlines/,Intent hãng bay và liên hệ/đại lý rất cụ thể; ưu tiên landing riêng theo đúng tên hãng.
https://khangvuongbooking.com/ve-may-bay-ha-noi-di-cap-nhi-tan/,bay từ hà nội đến cáp nhĩ tân bao lâu | chuyến bay tới cáp nhĩ tân | vé máy bay đi cáp nhĩ tân | vé máy bay hà nội cáp nhĩ tân | chuyến bay từ tp. hồ chí minh đến cáp nhĩ tân,31,2657,,create_specific_landing,/ve-may-bay-ha-noi-di-cap-nhi-tan/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/chuyen-bay-sai-gon-tp-hcm-di-houston-my-thang-9/,vé máy bay từ houston đi tp. hồ chí minh | vé máy bay đi houston | vé máy bay từ tphcm đi houston | vé máy bay từ tp. hồ chí minh đi houston | vé máy bay từ houston về sài gòn,29,2847,,create_specific_landing,/chuyen-bay-sai-gon-tp-hcm-di-houston-my-thang-9/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/ve-may-bay-tu-ho-chi-minh-di-trung-khanh/,chuyến bay tới trùng khánh | từ thành phố hồ chí minh đến trùng khánh bao nhiêu km | vé máy bay đi trùng khánh | vé máy bay đi trùng khánh trung quốc | giá vé máy bay hải phòng trùng khánh,26,5552,,create_specific_landing,/ve-may-bay-tu-ho-chi-minh-di-trung-khanh/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/dai-ly-phong-ve-china-eastern-airlines/,văn phòng china eastern airlines tại tphcm | đại lý china eastern airlines | dai ly china eastern airlines | doi ve china eastern airlines | mua hanh ly china eastern airlines,21,7927,/hang-bay,create_specific_landing,/dai-ly-phong-ve-china-eastern-airlines/,Intent hãng bay và liên hệ/đại lý rất cụ thể; ưu tiên landing riêng theo đúng tên hãng.
https://khangvuongbooking.com/dat-mua-ve-may-bay-da-nang-di-my/,vé máy bay đà nẵng đi mỹ | vé máy bay từ mỹ về đà nẵng | vé máy bay đi jamaica | vé máy bay ra đà nẵng | săn vé máy bay giá rẻ đi đà nẵng,23,4741,/ve-may-bay,create_specific_landing,/dat-mua-ve-may-bay-da-nang-di-my/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
https://khangvuongbooking.com/ve-may-bay-di-nga-gia-re-moi-nhat-2025/,ve may bay di nga | vé máy bay đi nga | từ việt nam sang nga bao nhiêu km | vé máy bay hà nội đi nga | vé máy bay từ nga về việt nam,21,6199,/ve-may-bay,create_specific_landing,/ve-may-bay-di-nga-gia-re-moi-nhat-2025/,Intent mua vé theo tuyến/điểm đến cụ thể; click hoặc impression cho thấy cần landing tuyến riêng thay vì /ve-may-bay hoặc /hang-bay.
