source_path,recommendation_type,recommended_target_or_slug,rationale
/san-ve-re-thang-10-chi-tu-39-usd-cung-air-asia-du-lich-chau-a-da-doi,create_specific_landing,/san-ve-re-thang-10-chi-tu-39-usd-cung-air-asia-du-lich-chau-a-da-doi,"Nhu cầu khuyến mãi AirAsia theo tháng và giá cụ thể; chỉ 1 impression, chưa có route tương đương nên giữ URL để tạo landing riêng."
/tag/air-asia-mo-duong-bay-thang-ha-noi-penang,retire_low_value,/tag/air-asia-mo-duong-bay-thang-ha-noi-penang,"Tag mỏng, không click và chỉ 1 impression; intent tuyến Hà Nội–Penang không nên dồn vào hub cam-nang-bay chung."
/tag/dai-ly-vietjet-air,retire_low_value,/tag/dai-ly-vietjet-air,"Tag mỏng, không click và chỉ 1 impression; không có giá trị độc lập, tránh redirect tag sang nội dung không tương đương."
/tag/dat-ve-may-bay-di-thai-lan,retire_low_value,/tag/dat-ve-may-bay-di-thai-lan,"Tag mỏng, không click và chỉ 1 impression; intent đặt vé Thái Lan cần landing cụ thể, không redirect sang hub vé chung."
/tag/gia-ve-may-bay-di-singapore-bao-nhieu-tien,retire_low_value,/tag/gia-ve-may-bay-di-singapore-bao-nhieu-tien,"Tag mỏng, không click và chỉ 1 impression; truy vấn giá Singapore không tương đương hoàn toàn với hub vé máy bay."
/tag/jetstar,retire_low_value,/tag/jetstar,"Tag mỏng, không click và chỉ 1 impression; không có nội dung độc lập đủ mạnh để giữ hoặc chuyển hướng."
/tag/ve-may-bay-thai-lion-air-gia-re,retire_low_value,/tag/ve-may-bay-thai-lion-air-gia-re,"Tag mỏng, không click và chỉ 1 impression; intent hãng và giá rẻ chưa có landing tương đương trong batch."
/vietjet-khuyen-mai-ve-may-bay-1402d-dip-le-tinh-nhan-14-2,create_specific_landing,/vietjet-khuyen-mai-ve-may-bay-1402d-dip-le-tinh-nhan-14-2,"Nhu cầu khuyến mãi Vietjet theo dịp Valentine và mức giá cụ thể; chưa có route tương đương nên giữ URL tạo landing riêng."
/vietnam-airlines-giam-10-gia-ve-dip-valentine-14-2,create_specific_landing,/vietnam-airlines-giam-10-gia-ve-dip-valentine-14-2,"Nhu cầu giảm giá Vietnam Airlines theo dịp Valentine; chưa có route tương đương, chỉ 1 impression nên giữ URL để xây nội dung riêng."
/vietnam-airlines-khuyen-mai-ngay-tang-qua-du-lich-tha-ga,create_specific_landing,/vietnam-airlines-khuyen-mai-ngay-tang-qua-du-lich-tha-ga,"Nhu cầu khuyến mãi Vietnam Airlines theo chương trình cụ thể; chưa có route tương đương nên không dồn vào hub khuyến mãi chung."
/vu-tru-goi-moi-san-ngay-ve-vietjet-gia-hoi,create_specific_landing,/vu-tru-goi-moi-san-ngay-ve-vietjet-gia-hoi,"Nhu cầu ưu đãi Vietjet theo chương trình và giá; chưa có route tương đương, chỉ 1 impression nên giữ URL tạo landing riêng."
/cebu-pacific-khuyen-mai-ve-mot-chieu-di-philippines-chi-tu-59-usd,create_specific_landing,/cebu-pacific-khuyen-mai-ve-mot-chieu-di-philippines-chi-tu-59-usd,"Nhu cầu vé một chiều Cebu Pacific đi Philippines với giá cụ thể; chưa có route tương đương nên giữ URL tạo landing riêng."
